"name","website url","symbol text","symbol img url","status","USD raised","time","sale price","current price","return","whitepaper url"
"Gridplus","https://gridplus.io/","GRID","https://www.tokendata.io/assets/logos/gridplus.png","Completed","$45,683,674.00","10/30/2017 - 11/11/2017","$1.164","$0.154","0.13x","https://goo.gl/ZD7oKD"
"Enigma Catalyst","http://www.enigma.co/","ENG","https://www.tokendata.io/assets/logos/enigma%20catalyst.png","Completed","$45,000,000.00","09/11/2017 - 09/11/2017","$0.600","$0.608","1.01x","http://www.enigma.co/enigma_catalyst.pdf"
"Arcblock","https://www.arcblock.io/","ABT","https://www.tokendata.io/assets/logos/arcblock.png","Completed","$45,000,000.00","02/04/2018 - 02/04/2018","$0.538","$0.204","0.38x","https://www.arcblock.io/file/whitepaper/WhitePaperEnV2_en-US.pdf?v=4"
"Endor","https://www.endor.com/","EDR","https://www.tokendata.io/assets/logos/endor.png","Completed","$45,000,000.00","03/29/2018 - 03/29/2018","$0.150","$0.045","0.30x","https://uploads-ssl.webflow.com/59f19167ffa06300013b3a69/5a8a97fc54ea7a000146ac08_Endor_Protocol_WP.pdf"
"4NEW","https://4new.io/","","https://www.tokendata.io/assets/logos/4new.png","Completed","$45,000,000.00","06/10/2018 - 08/10/2018","","","","https://4new.io/wp-content/uploads/2018/08/4New_White_Paper_English-v2.pdf"
"Lendroid","https://lendroid.com/","LST","https://www.tokendata.io/assets/logos/lendroid.png","Completed","$44,768,500.00","02/20/2018 - 02/20/2018","$0.009","$0.002","0.22x","https://lendroid.com/assets/whitepaper-margin-trading.pdf"
"ICON","https://icon.foundation/en/","ICX","https://www.tokendata.io/assets/logos/icon.png","Completed","$42,561,000.00","09/20/2017 - 09/20/2017","$0.106","$0.692","6.50x","http://docs.icon.foundation/ICON-Whitepaper-EN-Draft.pdf"
"Shopin","https://tokensale.shopin.com/","","https://www.tokendata.io/assets/logos/shopin.png","Completed","$42,546,500.00","03/30/2018 - 04/30/2018","","","","https://shopin.docsend.com/view/b6iuqiu"
"DomRaider","https://www.domraider.io/en/","DRT","https://www.tokendata.io/assets/logos/domraider.png","Completed","$42,000,000.00","09/12/2017 - 10/11/2017","$0.120","$0.006","0.05x","https://s3-eu-west-1.amazonaws.com/domraider/domraider/DomRaider+ICO+Whitepaper+EN.pdf"
"Fusion","https://fusion.org/","FSN","https://www.tokendata.io/assets/logos/fusion.png","Completed","$41,710,592.00","02/01/2018 - 02/11/2018","$2.037","$0.881","0.43x","https://fusion.org/files/FUSION%20Whitepaper%20V1.0.3.pdf"
"Pundi X","https://pundix.com/","NPXS","https://www.tokendata.io/assets/logos/pundi%20x.png","Completed","$41,700,000.00","01/20/2018 - 01/20/2018","$0.001","$0.002","1.74x","https://pundix.com/pdf/PundiX_WhitePaper_EN_FinalVer1.pdf"
"Bloom","https://hellobloom.io/","BLT","https://www.tokendata.io/assets/logos/bloom.png","Completed","$41,420,705.00","11/30/2017 - 01/01/2018","$1.049","$0.151","0.14x","https://hellobloom.io/whitepaper.pdf"
"Finom","https://finom.io/","","https://www.tokendata.io/assets/logos/finom.png","Completed","$41,285,459.00","11/01/2017 - 12/30/2017","","","","https://finom.io/files/whitepaper_eng.pdf"
"WePower","https://wepower.network/","WPR","https://www.tokendata.io/assets/logos/wepower.png","Completed","$40,000,000.00","02/01/2018 - 02/01/2018","$0.086","$0.030","0.35x","https://wepower.network/WhitePaper-WePower.pdf"
"Electroneum","http://electroneum.com/","ETN","https://www.tokendata.io/assets/logos/electroneum.png","Completed","$40,000,000.00","09/14/2017 - 10/20/2017","$0.007","$0.020","2.98x","http://electroneum.com/overview-white-paper.pdf"
"Nucleus Vision","https://nucleus.vision/","NCASH","https://www.tokendata.io/assets/logos/nucleus%20vision.png","Completed","$40,000,000.00","01/27/2018 - 01/27/2018","$0.010","$0.005","0.48x","https://nucleus.vision/light-paper.pdf?v=1.6.4"
"Datawallet","https://tokensale.datawallet.com/","DXT","https://www.tokendata.io/assets/logos/datawallet.png","Completed","$40,000,000.00","01/15/2018 - 02/06/2018","$0.120","$0.009","0.08x","https://assets.datawallet.io/tokensale/datawallet_whitepaper.pdf"
"Patron","https://patron-ico.io/","PAT","https://www.tokendata.io/assets/logos/patron.png","Completed","$40,000,000.00","05/09/2018 - 05/27/2018","$0.167","$0.023","0.14x","https://patron-ico.io/doc/patron-wp-en-01.pdf"
"YGGDRASH","https://yggdrash.io/","","https://www.tokendata.io/assets/logos/yggdrash.png","Completed","$40,000,000.00","03/12/2018 - 03/12/2018","","","","http://cdn.yggdrash.io/docs/Yggdrash_WhitePaper_En.pdf"
"Quant Network","https://www.quant.network/","","https://www.tokendata.io/assets/logos/quant%20network.png","Completed","$39,772,200.00","05/01/2018 - 05/01/2018","","","","https://www.quant.network/whitepaper/"
"Fantom","https://www.fantom.foundation/","","https://www.tokendata.io/assets/logos/fantom.png","Completed","$39,653,398.00","06/15/2018 - 06/15/2018","","","","https://www.fantom.foundation/data/FANTOM%20Whitepaper%20English%20v1.5.pdf"
"Mobius","https://mobius.network/","MOBI","https://www.tokendata.io/assets/logos/mobius.png","Completed","$39,000,000.00","01/18/2018 - 01/18/2018","$0.146","$0.029","0.20x","https://mobius.network/mobius_white_paper.pdf"
"0chain","https://0chain.net/","","https://www.tokendata.io/assets/logos/0chain.png","Completed","$39,000,000.00","02/17/2018 - 02/17/2018","","","","https://drive.google.com/file/d/1X4ow9MS9YUfOOX3m8pdUAJbv5TXNzZHD/view"
"Crypto20","https://crypto20.com/en/","C20","https://www.tokendata.io/assets/logos/crypto20.png","Completed","$38,222,081.00","10/07/2017 - 11/30/2017","$1.000","$0.643","0.64x","https://static.crypto20.com/pdf/c20-whitepaper.pdf?_ga=2.210883536.495581312.1506851168-542282968.1506851168"
"CashBet Coin","https://coin.cashbet.com/","","https://www.tokendata.io/assets/logos/cashbet%20coin.png","Completed","$38,000,000.00","03/27/2018 - 04/27/2018","$0.266","$0.029","0.11x","https://coin.cashbet.com/whitepaper/"
"Ripio","https://ripiocredit.network/","RCN","https://www.tokendata.io/assets/logos/ripio.png","Completed","$37,000,000.00","10/24/2017 - 11/05/2017","$0.076","$0.031","0.40x","https://ripiocredit.network/wp/RCN%20Whitepaper%20ENG.pdf"
"Moneytoken","https://moneytoken.com/","","https://www.tokendata.io/assets/logos/moneytoken.png","Completed","$37,000,000.00","05/02/2018 - 06/07/2018","","","","https://moneytoken.com/doc/MoneyTokenWP_ENG.pdf?ver=1.02"
"Monetha","http://www.monetha.io/","MTH","https://www.tokendata.io/assets/logos/monetha.png","Completed","$36,388,800.00","08/31/2017 - 08/31/2017","$0.181","$0.037","0.20x","https://www.monetha.io/Monetha_WP.pdf"
"Loopring","https://loopring.org/","","https://www.tokendata.io/assets/logos/loopring.png","Completed","$36,272,400.00","08/01/2017 - 08/16/2017","","","",""
"AirSwap","https://airswap.io/","AST","https://www.tokendata.io/assets/logos/airswap.png","Completed","$36,266,942.00","10/10/2017 - 10/11/2017","$0.242","$0.094","0.39x","https://swap.tech/pdfs/SwapWhitepaper.pdf"
"Basic Attention Token","https://basicattentiontoken.org/","BAT","https://www.tokendata.io/assets/logos/basic%20attention%20token.png","Completed","$36,000,000.00","05/31/2017 - 05/31/2017","$0.036","$0.272","7.55x","https://basicattentiontoken.org/wp-content/uploads/2017/03/BasicAttentionTokenWhitePaper_032117.pdf"
"SingularityNET","https://singularitynet.io/","AGI","https://www.tokendata.io/assets/logos/singularitynet.png","Completed","$36,000,000.00","12/19/2017 - 12/22/2017","$0.109","$0.053","0.49x","https://public.singularitynet.io/whitepaper.pdf"
"Current","https://tokensale.current.us/","","https://www.tokendata.io/assets/logos/current.png","Completed","$36,000,000.00","02/06/2018 - 02/06/2018","","","","https://cdn.current.us/whitepaper.pdf"
"Wanchain","https://wanchain.org/","WAN","https://www.tokendata.io/assets/logos/wanchain.png","Completed","$35,704,520.00","10/03/2017 - 10/04/2017","$0.309","$0.987","3.19x","https://wanchain.org/files/Wanchain-Whitepaper-EN-version.pdf"
"SONM","https://sonm.io/","SNM","https://www.tokendata.io/assets/logos/sonm.png","Completed","$35,000,000.00","05/25/2017 - 06/18/2017","$0.106","$0.055","0.52x","http://sonm.io/Sonm1.pdf"
"TBIS","https://tbis.io/","","https://www.tokendata.io/assets/logos/tbis.png","Completed","$35,000,000.00","01/01/2018 - 01/18/2018","","","","https://tbis.io/wp-content/uploads/2017/11/Titanium-Infrastructure-Services-White-Paper.pdf"
"MOOVER","https://moover-contrib.tech/","","https://www.tokendata.io/assets/logos/moover.png","Completed","$35,000,000.00","12/01/2017 - 04/01/2018","","","","https://drive.google.com/file/d/19pKcAgFWE3YTmd9EM9sOvJ4jzrTIdgql/view"
"Cardstack","https://cardstack.com/","CARD","https://www.tokendata.io/assets/logos/cardstack.png","Completed","$35,000,000.00","05/31/2018 - 06/01/2018","$0.015","$0.002","0.13x","https://cardstack.com/whitepaper.pdf"
"Shivom","https://shivom.io/","OMX","https://www.tokendata.io/assets/logos/shivom.png","Completed","$35,000,000.00","04/16/2018 - 04/16/2018","$0.035","$0.005","0.14x","https://shivom.io/documents.html"
"Republic Protocol","https://republicprotocol.com/","REN","https://www.tokendata.io/assets/logos/republic%20protocol.png","Completed","$33,740,700.00","02/03/2018 - 02/03/2018","$0.056","$0.028","0.51x","https://republicprotocol.github.io/whitepaper/republic-whitepaper.pdf"
"Constellation Labs","https://constellationlabs.io/","DAG","https://www.tokendata.io/assets/logos/constellation%20labs.png","Completed","$33,700,000.00","01/01/2018 - 01/31/2018","$0.047","$0.007","0.15x","https://github.com/Constellation-Labs/Whitepaper/blob/master/constellation_whitepaper_v0.1.pdf"
"DCC","http://dcc.finance/","DCC","https://www.tokendata.io/assets/logos/dcc.png","Completed","$33,681,548.00","05/28/2018 - 05/28/2018","$0.015","$0.006","0.41x","http://dcc.finance/file/DCCwhitepaper.pdf"
"Ether Party","https://etherparty.com/","FUEL","https://www.tokendata.io/assets/logos/ether%20party.png","Completed","$33,509,680.00","10/01/2017 - 10/29/2017","$0.042","$0.021","0.50x","https://etherparty.com/Etherparty_White_Paper_EN.pdf"
"Stox","https://www.stox.com/en/","STX","https://www.tokendata.io/assets/logos/stox.png","Completed","$33,350,320.00","08/02/2017 - 08/03/2017","$1.127","$0.067","0.06x","https://www.stox.com/assets/stox-whitepaper.pdf"
"Request Network","https://request.network/#/","REQ","https://www.tokendata.io/assets/logos/request%20network.png","Completed","$33,338,000.00","10/13/2017 - 10/16/2017","$0.067","$0.060","0.90x","https://request.network/assets/pdf/request_whitepaper.pdf"
"Civic","https://civic.com/","CVC","https://www.tokendata.io/assets/logos/civic.png","Completed","$33,000,000.00","06/21/2017 - 06/22/2017","$0.100","$0.133","1.33x","https://tokensale.civic.com/CivicTokenSaleWhitePaper.pdf"
"BFToken","https://bnktothefuture.com/bf-token","BFT","https://www.tokendata.io/assets/logos/bftoken.png","Completed","$33,000,000.00","02/16/2018 - 02/16/2018","$0.100","$0.035","0.35x","https://bf-token.bnktothefuture.com/pdf/whitepaper.pdf"
"TrakInvest","https://trakinvest.ai/","","https://www.tokendata.io/assets/logos/trakinvest.png","Completed","$33,000,000.00","02/08/2018 - 03/07/2018","","","","https://trakinvest.ai/files/ti-whitepaper.pdf"
"Jet8","https://jet8.io/","J8T","https://www.tokendata.io/assets/logos/jet8.png","Completed","$32,706,262.00","02/28/2018 - 03/06/2018","$0.048","$0.003","0.06x","https://jet8.io/downloads/180206_J8T_Whitepaper_ENG.pdf"
"Unikoingold","https://unikoingold.com/","UKG","https://www.tokendata.io/assets/logos/unikoingold.png","Completed","$32,345,171.00","09/22/2017 - 10/23/2017","$0.253","$0.033","0.13x","https://unikoingold.com/whitepaper"
"Ambrosus","http://ambrosus.com/","AMB","https://www.tokendata.io/assets/logos/ambrosus.png","Completed","$32,229,228.00","10/10/2017 - 10/22/2017","$0.223","$0.202","0.91x","http://ambrosus.com/wp-content/uploads/2017/09/Ambrosus-White-Paper-V8-1.pdf"
"Legolas Exchange","https://legolas.exchange/","LGO","https://www.tokendata.io/assets/logos/legolas%20exchange.png","Completed","$32,133,572.00","02/01/2018 - 02/01/2018","$0.159","$0.081","0.51x","https://legolas.exchange/#whitepaper"
"CyberMiles","https://cm.5miles.com/","CMT","https://www.tokendata.io/assets/logos/cybermiles.png","Completed","$32,030,393.00","11/21/2017 - 11/22/2017","$0.046","$0.111","2.44x","https://cm.5miles.com/file/Project%20white%20paper.pdf"
"Storm","http://stormtoken.com/","","https://www.tokendata.io/assets/logos/storm.png","Completed","$32,000,000.00","11/07/2017 - 12/07/2017","","","","https://s3.amazonaws.com/cakecodes/pdf/storm_web/STORM_Token_White_Paper_Market_Research_Network_Development_vFINAL.pdf"
"ChainLink","http://smartcontract.com/link","LINK","https://www.tokendata.io/assets/logos/chainlink.png","Completed","$32,000,000.00","09/19/2017 - 09/19/2017","$0.091","$0.364","3.98x",""
"Bread","https://token.breadapp.com/","BRD","https://www.tokendata.io/assets/logos/bread.png","Completed","$32,000,000.00","12/15/2017 - 12/15/2017","$0.302","$0.395","1.31x","https://d2n2g5n187q8lu.cloudfront.net/static/docs/BRD-whitepaper-EN.pdf"
"Raiden Network","https://raiden.network/","RDN","https://www.tokendata.io/assets/logos/raiden%20network.png","Completed","$31,949,389.00","10/18/2017 - 11/01/2017","$0.639","$0.593","0.93x","http://www.github.com/raiden-network/raiden/?fref=ts"
"ChainTrade","https://chaintrade.net/","","https://www.tokendata.io/assets/logos/chaintrade.png","Completed","$31,808,389.00","10/09/2017 - 12/31/2017","","","","https://chaintrade.net/wp-content/uploads/2017/10/ChainTrade_Whitepaper_v0.79.pdf"
"FuzeX","https://www.fuzex.co/","","https://www.tokendata.io/assets/logos/fuzex.png","Completed","$31,724,800.00","01/15/2018 - 02/06/2018","","","","https://docs.wixstatic.com/ugd/2b1c8a_5fb771f2fbfa4e17b8871feaa679855d.pdf"
"Polybius","https://polybius.io/","PLBT","https://www.tokendata.io/assets/logos/polybius.png","Completed","$31,645,088.00","05/31/2017 - 07/05/2017","$8.669","$1.675","0.19x",""
"Hydro","https://thehydrofoundation.com/","HOT","https://www.tokendata.io/assets/logos/hydro.png","Completed","$31,250,400.00","01/06/2018 - 01/06/2018","$0.080","$0.010","0.13x","https://thehydrofoundation.com/Hydro-Whitepaper-v0116-en.pdf"
"Trade io","https://trade.io/","TIO","https://www.tokendata.io/assets/logos/trade%20io.png","Completed","$31,169,749.00","12/07/2017 - 01/04/2018","$0.474","$0.156","0.33x","https://trade.io/whitepaper/EN.pdf"
"Quantstamp","https://quantstamp.com/","QSP","https://www.tokendata.io/assets/logos/quantstamp.png","Completed","$30,831,930.00","11/07/2017 - 11/19/2017","$0.059","$0.041","0.70x","https://docsend.com/view/7siev4f"
"Sether","https://www.sether.io/","","https://www.tokendata.io/assets/logos/sether.png","Completed","$30,489,312.00","12/04/2017 - 01/15/2018","$2.772","$0.067","0.02x","https://github.com/mware-solutions/icosite/blob/master/SETHER%20Whitepaper.pdf"
"Proximax","https://proximax.io/","","https://www.tokendata.io/assets/logos/proximax.png","Completed","$30,364,532.00","04/15/2018 - 04/30/2018","","","","https://proximax.io/ProximaX-Whitepaper-v1.4.pdf"
"Refereum","http://refereum.com/","RFR","https://www.tokendata.io/assets/logos/refereum.png","Completed","$30,282,800.00","02/07/2018 - 02/07/2018","$0.019","$0.006","0.30x","http://refereum.com/"
"Storj","https://storj.io/","STORJ","https://www.tokendata.io/assets/logos/storj.png","Completed","$30,000,000.00","05/19/2017 - 05/26/2017","$0.500","$0.351","0.70x","https://storj.io/storj.pdf"
"Blackmoon Crypto","https://blackmooncrypto.com/","BMC","https://www.tokendata.io/assets/logos/blackmoon%20crypto.png","Completed","$30,000,000.00","09/12/2017 - 09/13/2017","","","","https://blackmooncrypto.com/BMC_Whitepaper_170813_v1.13.pdf"
